freq(Hz)	pow(dB/Hz)
0	48.09003584198162
0.67291259765625	47.97391889556223
1.3458251953125	47.85933444202691
2.01873779296875	47.74624258955909
2.691650390625	47.63460498459719
3.36456298828125	47.52438473374919
4.0374755859375	47.41554633059965
4.71038818359375	47.308055587046425
5.38330078125	47.201879568834286
6.05621337890625	47.09698653498171
6.7291259765625	46.993345880821806
7.40203857421875	46.890928084401935
8.074951171875	46.78970465600674
8.74786376953125	46.6896480905891
9.4207763671875	46.590731822910016
10.09368896484375	46.492930185204415
10.7666015625	46.39621836720424
11.43951416015625	46.3005723783629
12.1124267578125	46.205969012137196
12.78533935546875	46.112385812193885
13.458251953125	46.01980104041748
14.13116455078125	45.92819364660556
14.8040771484375	45.83754323974566
15.47698974609375	45.74783006077592
16.14990234375	45.65903495673825
16.82281494140625	45.571139356239634
17.4957275390625	45.484125246142824
18.16864013671875	45.39797514941323
18.841552734375	45.3126721040539
19.51446533203125	45.2281996430652
20.1873779296875	45.14454177536955
20.86029052734375	45.06168296764659
21.533203125	44.979608127026566
22.20611572265625	44.89830258459403
22.8790283203125	44.81775207965673
23.55194091796875	44.73794274473735
24.224853515625	44.658861091248795
24.89776611328125	44.58049399581576
25.5706787109375	44.50282868720823
26.24359130859375	44.425852733853986
26.91650390625	44.34955403189993
27.58941650390625	44.27392079379324
28.2623291015625	44.1989415373557
28.93524169921875	44.12460507532566
29.608154296875	44.05090050534397
30.28106689453125	43.97781720036119
30.9539794921875	43.90534479944549
31.62689208984375	43.83347319897068
32.2998046875	43.7621925441662
32.97271728515625	43.69149322101114
33.6456298828125	43.621365848455504
34.31854248046875	43.5518012709533
34.991455078125	43.48279055129231
35.66436767578125	43.414324963706605
36.3372802734375	43.34639598725856
37.01019287109375	43.27899529947772
37.68310546875	43.21211477024478
38.35601806640625	43.145746455909304
39.0289306640625	43.07988259363056
39.70184326171875	43.01451559593151
40.374755859375	42.94963804545634
41.04766845703125	42.88524268992224
41.7205810546875	42.82132243725732
42.39349365234375	42.75787035091602
43.06640625	42.69487964536466
43.73931884765625	42.632343681729445
44.4122314453125	42.57025596360033
45.08514404296875	42.508610132983655
45.758056640625	42.44739996639773
46.43096923828125	42.386619371104935
47.1038818359375	42.326262381474955
47.77679443359375	42.26632315547352
48.44970703125	42.20679597127166
49.12261962890625	42.14767522397028
49.7955322265625	42.08895542243571
50.46844482421875	42.03063118624148
51.141357421875	41.972697242712236
51.81427001953125	41.915148424065634
52.4871826171875	41.85797966464836
53.16009521484375	41.80118599826261
53.8330078125	41.74476255557955
54.50592041015625	41.68870456163618
55.1788330078125	41.63300733341267
55.85174560546875	41.577666277486884
56.524658203125	41.52267688776317
57.19757080078125	41.468034743272774
57.8704833984375	41.413735506043025
58.54339599609375	41.35977491903272
59.21630859375	41.30614880413142
59.88922119140625	41.25285306022009
60.5621337890625	41.19988366129101
61.23504638671875	41.147236654624706
61.907958984375	41.094908159021806
62.58087158203125	41.042894363087996
63.2537841796875	40.99119152356999
63.92669677734375	40.93979596374087
64.599609375	40.888704071832876
65.27252197265625	40.83791229951619
65.9454345703125	40.787417160421846
66.61834716796875	40.737215228707555
67.291259765625	40.68730313766462
67.96417236328125	40.63767757836486
68.6370849609375	40.588335298345804
69.30999755859375	40.539273100333375
69.98291015625	40.49048784100016
70.65582275390625	40.441976429758625
71.3287353515625	40.39373582758783
72.00164794921875	40.34576304589259
72.674560546875	40.29805514539397
73.34747314453125	40.25060923505019
74.0203857421875	40.203422471006874
74.69329833984375	40.156492055575654
75.3662109375	40.109815236240316
76.03912353515625	40.06338930468951
76.7120361328125	40.017211595875246
77.38494873046875	39.97127948709628
78.057861328125	39.92559039710571
78.73077392578125	39.88014178524188
79.4036865234375	39.83493115058201
80.07659912109375	39.78995603111772
80.74951171875	39.745214002951876
81.42242431640625	39.70070267951601
82.0953369140625	39.65641971080775
82.76824951171875	39.61236278264759
83.441162109375	39.5685296159545
84.11407470703125	39.52491796603972
84.7869873046875	39.481525621918216
85.45989990234375	39.43835040563731
86.1328125	39.395390171621926
86.80572509765625	39.352642806035995
87.4786376953125	39.31010622615951
88.15155029296875	39.267778379780786
88.824462890625	39.225657244603525
89.49737548828125	39.183740827668146
90.1702880859375	39.142027164787116
90.84320068359375	39.100514319993735
91.51611328125	39.05920038500414
92.18902587890625	39.01808347869194
92.8619384765625	38.97716174657543
93.53485107421875	38.936433360316656
94.207763671875	38.895896517232366
94.88067626953125	38.85554943981624
95.5535888671875	38.815390375272244
96.22650146484375	38.7754175950587
96.8994140625	38.73562939444287
97.57232666015625	38.69602409206568
98.2452392578125	38.656600029516376
98.91815185546875	38.617355570916786
99.591064453125	38.57828910251498
100.26397705078125	38.539399032288
100.9368896484375	38.500683789553555
101.60980224609375	38.462141824590255
102.28271484375	38.42377160826629
102.95562744140625	38.38557163167635
103.6285400390625	38.34754040578642
104.30145263671875	38.3096764610864
104.974365234375	38.27197834725027
105.64727783203125	38.23444463280361
106.3201904296875	38.19707390479829
106.99310302734375	38.15986476849416
107.666015625	38.12281584704755
108.33892822265625	38.08592578120635
109.0118408203125	38.04919322901165
109.68475341796875	38.01261686550561
110.357666015625	37.97619538244546
111.03057861328125	37.939927488023564
111.7034912109375	37.903811906593255
112.37640380859375	37.86784737840037
113.04931640625	37.832032659320376
113.72222900390625	37.79636652060087
114.3951416015625	37.76084774860937
115.06805419921875	37.725475144586255
115.740966796875	37.69024752440276
116.41387939453125	37.65516371832381
117.0867919921875	37.620222570775724
117.75970458984375	37.585422940118505
118.4326171875	37.55076369842274
