freq(Hz)	pow(dB/Hz)
0	38.57620366426233
0.67291259765625	38.4600865874835
1.3458251953125	38.34550174286986
2.01873779296875	38.232409238604774
2.691650390625	38.1207707211267
3.36456298828125	38.01054929704354
4.0374755859375	37.90170945993984
4.71038818359375	37.79421702171336
5.38330078125	37.68803904810883
6.05621337890625	37.58314379814463
6.7291259765625	37.479500667153815
7.40203857421875	37.377080133183604
8.074951171875	37.27585370651856
8.74786376953125	37.17579388211143
9.4207763671875	37.076874094723074
10.09368896484375	36.979068676588305
10.7666015625	36.88235281743891
11.43951416015625	36.78670252672811
12.1124267578125	36.69209459791256
12.78533935546875	36.59850657465881
13.458251953125	36.50591671885122
14.13116455078125	36.41430398028712
14.8040771484375	36.323647967953875
15.47698974609375	36.23392892278937
16.14990234375	36.145127691835285
16.82281494140625	36.057225703698364
17.4957275390625	35.9702049452411
18.16864013671875	35.88404793942865
18.841552734375	35.79873772426378
19.51446533203125	35.71425783274654
20.1873779296875	35.630592273799095
20.86029052734375	35.54772551410076
21.533203125	35.46564246078146
22.20611572265625	35.38432844492543
22.8790283203125	35.30376920584007
23.55194091796875	35.223950876047724
24.224853515625	35.14485996696091
24.89776611328125	35.06648335520398
25.5706787109375	34.98880826954653
26.24359130859375	34.91182227841597
26.91650390625	34.83551327795875
27.58941650390625	34.759869480621695
28.2623291015625	34.68487940422613
28.93524169921875	34.61053186151
29.608154296875	34.536815950113656
30.28106689453125	34.463721042987274
30.9539794921875	34.391236779198515
31.62689208984375	34.31935305512073
32.2998046875	34.24806001598289
32.97271728515625	34.17734804776355
33.6456298828125	34.10720776941225
34.31854248046875	34.037630025382455
34.991455078125	33.968605878461425
35.66436767578125	33.900126602882715
36.3372802734375	33.83218367770812
37.01019287109375	33.76476878046666
37.68310546875	33.69787378103844
38.35601806640625	33.63149073577243
39.0289306640625	33.56561188182735
39.70184326171875	33.50022963172555
40.374755859375	33.435336568110586
41.04766845703125	33.370925438699054
41.7205810546875	33.306989151418406
42.39349365234375	33.24352076972247
43.06640625	33.180513508076885
43.73931884765625	33.117960727607226
44.4122314453125	33.055855931902755
45.08514404296875	32.994192762969135
45.758056640625	32.93296499732398
46.43096923828125	32.87216654222897
47.1038818359375	32.81179143205306
47.77679443359375	32.7518338247613
48.44970703125	32.69228799852394
49.12261962890625	32.63314834844115
49.7955322265625	32.574409383378516
50.46844482421875	32.5160657229088
51.141357421875	32.45811209435587
51.81427001953125	32.40054332993659
52.4871826171875	32.34335436399684
53.16009521484375	32.28654023033803
53.8330078125	32.2300960596305
54.50592041015625	32.17401707691042
55.1788330078125	32.11829859915713
55.85174560546875	32.06293603294762
56.524658203125	32.0079248721854
57.19757080078125	31.95326069590085
57.8704833984375	31.8989391661204
58.54339599609375	31.84495602580197
59.21630859375	31.791307096834217
59.88922119140625	31.73798827809719
60.5621337890625	31.684995543582257
61.23504638671875	31.632324940568992
61.907958984375	31.579972587857096
62.58087158203125	31.527934674051295
63.2537841796875	31.476207455897352
63.92669677734375	31.42478725666736
64.599609375	31.37367046459259
65.27252197265625	31.322853531342197
65.9454345703125	31.27233297054625
66.61834716796875	31.222105356361418
67.291259765625	31.172167322077993
67.96417236328125	31.12251555876673
68.6370849609375	31.073146813964165
69.30999755859375	31.024057890395106
69.98291015625	30.975245644731103
70.65582275390625	30.92670698638354
71.3287353515625	30.87843887633039
72.00164794921875	30.83043832597536
72.674560546875	30.78270239603841
73.34747314453125	30.73522819547665
74.0203857421875	30.688012880434556
74.69329833984375	30.64105365322263
75.3662109375	30.59434776132351
76.03912353515625	30.54789249642468
76.7120361328125	30.501685193476973
77.38494873046875	30.455723229777988
78.057861328125	30.410004024079594
78.73077392578125	30.36452503571896
79.4036865234375	30.319283763772074
80.07659912109375	30.274277746229345
80.74951171875	30.229504559192403
81.42242431640625	30.184961816091533
82.0953369140625	30.140647166923106
82.76824951171875	30.096558297506355
83.441162109375	30.05269292875898
84.11407470703125	30.009048815990923
84.7869873046875	29.965623748215858
85.45989990234375	29.9224155474798
86.1328125	29.879422068206367
86.80572509765625	29.83664119655814
87.4786376953125	29.7940708498138
88.15155029296875	29.751708975760298
88.824462890625	29.709553552099976
89.49737548828125	29.667602585871883
90.1702880859375	29.62585411288712
90.84320068359375	29.584306197177593
91.51611328125	29.542956930458022
92.18902587890625	29.501804431600632
92.8619384765625	29.460846846122273
93.53485107421875	29.42008234568357
94.207763671875	29.37950912759983
94.88067626953125	29.339125414363288
95.5535888671875	29.298929453176434
96.22650146484375	29.258919515496128
96.8994140625	29.21909389658814
97.57232666015625	29.17945091509191
98.2452392578125	29.139988912595175
98.91815185546875	29.100706253218252
99.591064453125	29.06160132320768
100.26397705078125	29.02267253053898
100.9368896484375	28.9839183045283
101.60980224609375	28.945337095452686
102.28271484375	28.906927374178796
102.95562744140625	28.86868763179972
103.6285400390625	28.830616379279853
104.30145263671875	28.792712147107512
104.974365234375	28.75497348495506
105.64727783203125	28.717398961346458
106.3201904296875	28.67998716333195
106.99310302734375	28.64273669616976
107.666015625	28.605646183014546
108.33892822265625	28.568714264612556
109.0118408203125	28.5319395990032
109.68475341796875	28.49532086122696
110.357666015625	28.45885674303938
111.03057861328125	28.42254595263112
111.7034912109375	28.386387214353796
112.37640380859375	28.350379268451533
113.04931640625	28.31452087079807
113.72222900390625	28.27881079263925
114.3951416015625	28.243247820340834
115.06805419921875	28.207830755141458
115.740966796875	28.172558412910558
116.41387939453125	28.137429623911302
117.0867919921875	28.1024432325682
117.75970458984375	28.067598097239447
118.4326171875	28.032893089993827
